timestamp,stage,occurrence,block,point,allocated,reserved,active,inactive_split,free,total,adaln_cache,opt_student,opt_fake,params,boundary
2026-08-19 15:17:51.992,block_22_post,1,22,post,6945381376,18836619264,6945381376,0,22641246208,42298834944,9676800,0,0,"{""all"": 69047622144, ""frozen"": 66280430080, ""lora_fake"": 1383596032, ""lora_student"": 1383596032}","{""cpu_copy_count"": 0, ""offloaded_logical_bytes"": 0, ""offloaded_storage_bytes"": 0, ""pack_count"": 0, ""unpack_count"": 0}"
2026-08-19 15:17:52.004,block_23_pre,1,23,pre,7363649536,18836619264,7363649536,0,22641246208,42298834944,9676800,0,0,"{""all"": 69047622144, ""frozen"": 66280430080, ""lora_fake"": 1383596032, ""lora_student"": 1383596032}","{""cpu_copy_count"": 0, ""offloaded_logical_bytes"": 0, ""offloaded_storage_bytes"": 0, ""pack_count"": 0, ""unpack_count"": 0}"
2026-08-19 15:17:52.346,block_23_post,1,23,post,6945381376,18836619264,6945381376,0,22641246208,42298834944,9676800,0,0,"{""all"": 69047622144, ""frozen"": 66280430080, ""lora_fake"": 1383596032, ""lora_student"": 1383596032}","{""cpu_copy_count"": 0, ""offloaded_logical_bytes"": 0, ""offloaded_storage_bytes"": 0, ""pack_count"": 0, ""unpack_count"": 0}"
2026-08-19 15:17:52.358,block_24_pre,1,24,pre,7363649536,18836619264,7363649536,0,22641246208,42298834944,9676800,0,0,"{""all"": 69047622144, ""frozen"": 66280430080, ""lora_fake"": 1383596032, ""lora_student"": 1383596032}","{""cpu_copy_count"": 0, ""offloaded_logical_bytes"": 0, ""offloaded_storage_bytes"": 0, ""pack_count"": 0, ""unpack_count"": 0}"
2026-08-19 15:17:52.701,block_24_post,1,24,post,6945381376,18836619264,6945381376,0,22641246208,42298834944,9676800,0,0,"{""all"": 69047622144, ""frozen"": 66280430080, ""lora_fake"": 1383596032, ""lora_student"": 1383596032}","{""cpu_copy_count"": 0, ""offloaded_logical_bytes"": 0, ""offloaded_storage_bytes"": 0, ""pack_count"": 0, ""unpack_count"": 0}"
2026-08-19 15:17:52.713,block_25_pre,1,25,pre,7363649536,18836619264,7363649536,0,22641246208,42298834944,9676800,0,0,"{""all"": 69047622144, ""frozen"": 66280430080, ""lora_fake"": 1383596032, ""lora_student"": 1383596032}","{""cpu_copy_count"": 0, ""offloaded_logical_bytes"": 0, ""offloaded_storage_bytes"": 0, ""pack_count"": 0, ""unpack_count"": 0}"
2026-08-19 15:17:53.055,block_25_post,1,25,post,6945381376,18836619264,6945381376,0,22641246208,42298834944,9676800,0,0,"{""all"": 69047622144, ""frozen"": 66280430080, ""lora_fake"": 1383596032, ""lora_student"": 1383596032}","{""cpu_copy_count"": 0, ""offloaded_logical_bytes"": 0, ""offloaded_storage_bytes"": 0, ""pack_count"": 0, ""unpack_count"": 0}"
2026-08-19 15:17:53.067,block_26_pre,1,26,pre,7363649536,18836619264,7363649536,0,22641246208,42298834944,9676800,0,0,"{""all"": 69047622144, ""frozen"": 66280430080, ""lora_fake"": 1383596032, ""lora_student"": 1383596032}","{""cpu_copy_count"": 0, ""offloaded_logical_bytes"": 0, ""offloaded_storage_bytes"": 0, ""pack_count"": 0, ""unpack_count"": 0}"
2026-08-19 15:17:53.411,block_26_post,1,26,post,6945381376,18836619264,6945381376,0,22641246208,42298834944,9676800,0,0,"{""all"": 69047622144, ""frozen"": 66280430080, ""lora_fake"": 1383596032, ""lora_student"": 1383596032}","{""cpu_copy_count"": 0, ""offloaded_logical_bytes"": 0, ""offloaded_storage_bytes"": 0, ""pack_count"": 0, ""unpack_count"": 0}"
2026-08-19 15:17:53.423,block_27_pre,1,27,pre,7363649536,18836619264,7363649536,0,22641246208,42298834944,9676800,0,0,"{""all"": 69047622144, ""frozen"": 66280430080, ""lora_fake"": 1383596032, ""lora_student"": 1383596032}","{""cpu_copy_count"": 0, ""offloaded_logical_bytes"": 0, ""offloaded_storage_bytes"": 0, ""pack_count"": 0, ""unpack_count"": 0}"
